Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Type,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location
2017,34,52.3707,4.920931,Kleine Wittenburgerstr 100,,Amsterdam,,,Netherlands,AP,De Kleine BOE,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-34,"(52.3707,4.920931)"
2017,35,52.36328,4.912861,Nieuwe Achtergracht 170,,Amsterdam,,,Netherlands,AP,Crea Cultureel Studentencentrum,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-35,"(52.36328,4.912861)"
2017,36,52.383877,4.883749,Vinkenstraat 185,,Amsterdam,,,Netherlands,AP,Woonzorgcentrum De Rietvinck,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-36,"(52.383877,4.883749)"
2017,37,52.370725,4.878745,Lauriergracht 99 C,,Amsterdam,,,Netherlands,C,De Toneelmakerij,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,niet rolstoeltoegankelijk,,Centrum,2017-37,"(52.370725,4.878745)"
2017,38,52.371584,4.882141,Lauriergracht 11,,Amsterdam,,,Netherlands,A,Galerie Fontana,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Centrum,2017-38,"(52.371584,4.882141)"
2017,39,52.360868,4.89226,Nieuwe Looiersstraat 9,,Amsterdam,,,Netherlands,AP,Basisschool de Kleine Reus,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-39,"(52.360868,4.89226)"
2017,40,52.377985,4.878485,Marnixplein 1,,Amsterdam,,,Netherlands,AP,Het Marnix,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-40,"(52.377985,4.878485)"
2017,41,52.378822,4.900167,Stationspln 15-Perron 2B,,Amsterdam,,,Netherlands,A,Centraal Station - Restaurant 1e klas,,,,15 maart 2017,16 maart 2017,6:30,21:00,,,,,rolstoeltoegankelijk,,Centrum,2017-41,"(52.378822,4.900167)"
2017,42,52.363823,4.881026,Leidsekade 97,,Amsterdam,,,Netherlands,B,American Hotel Amsterdam,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-42,"(52.363823,4.881026)"
2017,43,52.373239,4.884545,Keizersgracht 218 B,,Amsterdam,,,Netherlands,B,Stichting De Oude Gracht,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met hulp,,Centrum,2017-43,"(52.373239,4.884545)"
2017,44,52.379538,4.88631,Noordermarkt 44,,Amsterdam,,,Netherlands,AP,Noorderkerk,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-44,"(52.379538,4.88631)"
2017,45,52.370797,4.898126,Kloveniersburgwal 48,,Amsterdam,,,Netherlands,AP,Het Bushuis,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-45,"(52.370797,4.898126)"
2017,46,52.374097,4.889837,Spuistraat 134 - 3e etage,,Amsterdam,,,Netherlands,AP,UvA - locatie P.C. Hoofthuis,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk met GPA,,Centrum,2017-46,"(52.374097,4.889837)"
2017,47,52.381714,4.884626,Palmstraat 7,,Amsterdam,,,Netherlands,A,De Vinse School,,,,15 maart 2017,16 maart 2017,7:30,21:00,,,,,rolstoeltoegankelijk,,Centrum,2017-47,"(52.381714,4.884626)"
