OBJECTNUMMER;Naam;Adres;Stemdistrict;Toegankelijkheid_code;Toegankelijkheid;Open_speciaal;Openingstijden;Stadsdeel;LNG;LAT
179;Tobiasschool;Rietwijkerstraat 55;263-264;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.847155;52.349437
180;OBS De Dongeschool;Geulstraat 9;265;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.893628;52.34484
181;Anne Frankschool;Niersstraat 41;266;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.894002;52.342802
182;Pastorie Vredeskerk;Pijnackerstraat 9;267-268;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.890046;52.350164
183;Anne Frankschool;Niersstraat 41;270;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.894002;52.342802
184;Knijn Bowling;Scheldeplein 3;271;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.891359;52.344327
185;Centrum Karunika;Meerhuizenplein 11;272;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.908231;52.347381
186;gymzaal De Rivierenschool;Lekstraat 33 A;274-275;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.90423;52.344237
187;Remise Lekstraat;Kromme-Mijdrechtstraat 25;276-277;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.909085;52.345757
188;gymzaal De Rivierenschool;Lekstraat 33 A;278;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.90423;52.344237
189;Buurtgebouw HdK;Henrick de Keijserplein 45;283;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.898064;52.351105
190;Thomaskerk;Prinses Irenestraat 36;286;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.874877;52.341974
191;Revalidatie- en Zorgcentrum Vreugdehof;De Klencke 111;287;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.884272;52.333854
192;NH Amsterdam Zuid;Van Leijenberghlaan 221;289;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.88004;52.326664
193;Zorgcentrum De Buitenhof;Nieuw Herlaer 2;290;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.888196;52.326662
194;Andrieskerk;Arent Janszoon Ernststr 869;292;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.868098;52.331843
195;ROC Zuid;Europaboulevard 13;293-294;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.892806;52.339588
196;Gymzaal bij school De Ark;Zuid-Hollandstraat 7;295-296;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Zuid;4.874745;52.326623
197;Menno Simonszhuis/Dynamo;Noordhollandstraat 17 A;297;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.866514;52.326794
198;Marius ten Catehof;Van Nijenrodeweg 937;298;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.858821;52.327317
199;Woonzorgcentrum Buitenveldert;Doornburg 2;299;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.861367;52.322888
200;WTC Toren A t/m G;Strawinskylaan 77 ingang Zuidplein;300;A;rolstoeltoegankelijk;1;7:30 - 20:00 uur;Zuid;4.873532;52.340198
201;Sporthallen Zuid;Burgerweeshuispad 54;301;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.854107;52.339977
202;Portocabin IJselplein;t/o Reggestraat 20;302-303;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Zuid;4.901743;52.347543
203;Multifunctioneel Centrum Binnenhof;Arent Janszoon Ernststr 112;305-306;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.87823;52.332309
204;Vrije Universiteit Amsterdam;De Boelelaan 1105;307;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Zuid;4.866482;52.334586
205;Kinderopvang Parvaneh;Van Gentstraat 16 A;311;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.851842;52.383117
206;KBS De Boomgaard;Gibraltarstraat 61;313;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.850041;52.383837
207;School Tijl Uilenspiegel;Tijl Uilenspiegelstraat 11 - ingang achterzijde t.h.v. Lanseloetstr;315-316;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.849172;52.378
208;Brede School de Springplank;Robert Scottstraat 28;317;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.846406;52.373556
209;Wachterliedpaviljoen;Wachterliedplantsoen 2;319;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.853598;52.377489
210;Narcis-Queridoschool;Jan den Haenstraat 41;321;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.86064;52.379372
211;Centrum voor Ouderen De Boeg;Hoofdweg 495;325-326;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.846639;52.376146
212;De Volksuniversiteit;Bos en Lommerplein 176;327;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.84514;52.378646
213;Bos en Lommerschool;Meimorgenstraat 2;328;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.840039;52.379027
214;de Wiltzangh;Hertspieghelweg 55;330;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.85055;52.381817
215;t Landhuis;Gerard Callenburgstraat 38;331;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.859231;52.379276
216;MBO College West;Laan van Spartaan 2;334;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.840608;52.373377
217;A.K.C. Blauw-Wit;Joos Banckersweg 18 A;335;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.856703;52.375778
218;Molen van Sloten;Akersluis 10;341;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.792208;52.341561
219;Vrouw en Vaart;President Allendelaan 733;342;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.805334;52.365677
220;Het Talent;gymlokaal ingang Veldzicht;343-344;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.799059;52.362806
221;Osdorpse Montessorischool;Hoekenes 59;346;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.80261;52.353971
222;Stadsloket Nieuw-West;Osdorpplein 1000;347;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.80667;52.357775
223;Dienstencentrum Osdorperhof;Pieter Calandlaan 84;348;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.812611;52.354748
224;Ichthusschool;Louis Davidsstraat 103;349;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.81066;52.352402
225;Verenigingsgebouw Nivon;Ouwerdingenpad 3;351;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.795137;52.362931
226;Zorgcentrum Leo Polak;Saaftingestraat 8;352;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.789133;52.362865
227;De Wachter;Wolbrantskerkweg 54 - 56;354;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.797409;52.356606
228;Nieuw Amstelrade;Clauskindereweg 21;356;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.794843;52.355245
229;Basisschool de Odyssee;Cycladenlaan 2 A;357;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.79305;52.348837
230;Huis van de Wijk De Aker;Noorderakerweg 2;359-361;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.782149;52.355055
231;Jenaplanschool Atlantis;Schuitenhuisstraat 5;362;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.786858;52.357443
232;Ymere Amsterdam-West;Anderlechtlaan 200;363;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.811123;52.342661
233;Horizon Brenner;Brenner 9 - ingang Monte Rosaplein-schoolpleinzijde;364-365;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.775411;52.350814
234;Obs de Horizon;zij-ingang Iwan Kantemanplein;366-367;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.788389;52.35053
235;OBA Osdorp;Osdorpplein 16;371;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.806788;52.358926
236;Basisschool De Wereldburger - gymgebouw;Koos Vorrinkweg 5;376-377;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.800052;52.35315
237;De Spaarndammerhout;Revaleiland 1;391-392;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;West;4.878756;52.392789
238;Museum Het Schip;Oostzaanstraat 45;393;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.873952;52.390315
239;De Bogt Westerbeer;Polanenstraat 6;394-395;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.87833;52.389003
240;De Zeeheld;Roggeveenstraat 14;396-397;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;West;4.886825;52.389875
241;De Koperen Knoop;Van Limburg Stirumstraat 119;398-399;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.876704;52.38346
242;Westerparkschool;Van Hogendorpplein 11;401-402;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.87704;52.384882
243;School De Bron;Van Beuningenstraat 141;403-404;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.874484;52.382336
244;Cartesius Lyceum;ingang Van Oldenbarneveldtplein 16;405;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.876429;52.377968
245;Van Hogendorphal;Van Hogendorpstraat 921;406;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.867589;52.381641
246;Amsta locatie De Poort;Hugo de Grootkade 20;408-409;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.873371;52.373209
247;Marcanti College;Jan van Galenstraat 31;410;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.866137;52.375217
248;Dependance Westerparkschool;Van Hallstraat 621;411-412;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.872931;52.379489
249;Openbare Bibliotheek Amsterdam;Van Hallstraat 615;413;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.872048;52.379665
250;Buurthuis De Havelaar;Douwes Dekkerstraat 2;421;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.865416;52.369166
251;Galerie Beeldend Gesproken;Hannie Dankbaarpassage 23;423;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;West;4.868823;52.366601
252;Schoolgebouw ROC;Da Costastraat 64;424;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.874382;52.368351
253;Brede School De Kinkerbuurt;ingang Nicolaas Beetsplantsoen;426-427;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.865762;52.364655
254;Schoolgebouw Winterkoninkje;Jan Pieter Heijestraat 45;428-429;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.863009;52.365317
255;Leonardo da Vinci school;Nassaukade 342 A;430;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;West;4.876066;52.367468
256;Mentrum;1e C Huygensstr 38;431-432;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.873646;52.36469
257;Vondelstede;Anna van den Vondelstr 30;433-434;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.869732;52.36035
258;Wackersacademie;Eerste Helmersstraat 271;436-437;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.864048;52.360585
259;Annie M.G. Schmidt;Pieter Langendijkstraat 44;439-440;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.860601;52.360355
260;De Nieuwe Liefde;Da Costakade 102;441-442;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.871648;52.369804
261;De Klinker;Borgerstraat 45;443;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.867765;52.365374
262;Philadelphia Zorg Amsterdam;Kinkerstraat 42;444;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.87405;52.367846
263;Conscious Hotel The Tire Station;Amstelveenseweg 3. via Sticky Fingers;445;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;West;4.855382;52.357275
264;Theater de Cameleon;Derde Kostverlorenkade 35;446;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.855954;52.358608
265;Nieuw Vredenburgh;Postjesweg 125;460-461;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.851252;52.363827
266;Aslan Muziekcentrum;Corantijnstraat 9;462-463;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.852408;52.361675
267;Joop Westerweelschool;Balboaplein 44;465-467;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.856198;52.368855
268;De Wending;Witte de Withplein 5;468;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;West;4.858373;52.368721
269;Openbare Bibliotheek Amsterdam;Mercatorplein 89;469-470;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.85026;52.369386
270;Rosa Boekdrukkerschool;Vancouverstraat 3-5;471-472;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.855354;52.373165
271;School De Roos;Reinier Claeszenplein 12;474-475;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;West;4.860818;52.374232
272;Al Maes;Cornelis Dirkszstraat 6;477;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.857089;52.371717
273;Het Sieraad;Postjesweg 1;479;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;West;4.859348;52.364546
274;Dansschool Meneer de Wit;Baarsjesweg 202;480;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.860249;52.365323
275;Buurthuis Jacob Maris;Columbusplein 253;482;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;West;4.855282;52.365705
276;Chassé Dance Studios;Chasséstraat 64;483-484;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;West;4.861485;52.370011
277;Huizingaschool;Jacob Geelstraat 42 - (ingang links om de hoek);491;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.830222;52.360791
278;De Schutse;Comeniusstraat 20;493;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.822591;52.359443
279;BSO De Groeiwereld;Lakenhalstraat 2;494;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.832805;52.364371
280;Pro Rege Basisschool;Hemsterhuisstraat 87 A;495;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.823233;52.36092
281;Calvijn College;Pieter Calandlaan 3;496;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.831572;52.356187
282;Huis van de wijk Het Anker;Jacques Veltmanstraat 427;497;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.833091;52.353246
283;Obs De Vlaamse Reus;Hechtelstraat 49 (zij-ingang);500-501;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.817797;52.347475
284;Hogeschool Ipabo;Jan Tooropstraat 136;503-504;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.836892;52.367482
285;Verpleeghuis Hof van Sloten;Louwesweg 10;505;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.823683;52.347386
286;Calvijn College;Pieter Calandlaan 3;506;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.831572;52.356187
287;Alexander Roozendaalschool;Jan Sluijtersstraat 3 (ingang gymzaal);508;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.839529;52.359666
288;Westcord Fashion Hotel Amsterdam;Hendrikje Stoffelsstraat 1;509;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.844237;52.357575
289;Brede school Fiep Westendorp;Overschiestraat 168 A;510-511;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.839251;52.348879
290;R.K. Basisschool De Mijlpaal;Westmallepad 11;513-514;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.806441;52.347285
291;Dependance De Mijlpaal;Anderlechtlaan 1;515-516;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.812109;52.344724
292;Oostoever;Bonnefantenstraat 10;517;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.829134;52.36563
293;Cordaan;Ottho Heldringstraat 13 A;518;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.832946;52.349596
294;Woon- en Zorgcentrum De Riekerhof;Johan Jongkindstraat 3;520;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.840225;52.359148
295;Regenbooggemeente;Van Ollefenstraat 9;521;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.825336;52.354782
296;Het Meervoud;August Allebéplein 5;523-524;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.839032;52.363088
297;Leger des Heils De Kandelaar;Burg Vening Meineszlaan 64;525;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.833055;52.383228
298;Buurtkamer Tante Ali;Burg Vening Meineszlaan 185;527;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.823528;52.382752
299;Stichting De Brug;Aalbersestraat 248 A;528;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.798156;52.379941
300;Al Wafa Islamitische Basisschool;Harry Koningsbergerstr 30;531;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.836715;52.380594
301;Visio Amsterdam Onderwijs;Slotermeerlaan 103;532;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.819923;52.37869
302;Basisschool Veerkracht;Van Moerkerkenstraat 89;536;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.810319;52.378617
303;Woonzorgcentrum Nieuw Geuzenveld;Cornelis Outshoornstraat 126;537;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.796306;52.382107
304;`t Koggeschip Katholieke Basisschool;Abraham Kuyperplein 2;538;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.802538;52.38292
305;OBA Slotermeer;Slotermeerlaan 103 E;539;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.820238;52.379312
306;Tuinstadhuis Geuzenveld;Plein `40-`45 nr. 1;540-541;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.821152;52.379101
307;Timotheusschool;Sam van Houtenstraat 2;542;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.805359;52.379474
308;SBO De Kans;Thomas van Aquinostraat 2;544;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.812439;52.372543
309;Spring High;Herman Poortstraat 17;546;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.831551;52.376624
310;Amsta De Raak;Dr. H. Colijnstraat 431;547;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.806223;52.379685
311;Noordmansschool;Louis Couperusstraat 131;548;C;niet rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.824438;52.375899
312;PlusPunt Eigenwijks Geuzenveld;Albardakade 5-7;550;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Nieuw-West;4.802734;52.378023
313;Oase/De Bron;Willem Kloosstraat 1;551;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.822709;52.375576
314;Pieter Jelles Troelstraschool;Dr. H. Colijnstraat 2;555;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.806603;52.375291
315;Meininger Hotel;Orlyplein 1;556;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Nieuw-West;4.837399;52.390609
316;Hotelschool The Hague;Jan Evertsenstraat 171;561;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Nieuw-West;4.843789;52.369024
317;Stadsdeelkantoor Amsterdam-Noord;Buikslotermeerplein 2000;600;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.932927;52.400828
318;Brede Mgr. Bekkersschool;Volendammerweg 160;601;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.959094;52.391884
319;Evean Korthagenhuis;Amerbos 590;602;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.939881;52.404836
320;Het Tolhuis;Buiksloterweg 7;603;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.90488;52.383039
321;Het Schouw;Dollardplein 2;604;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.942726;52.398052
322;Wijkgebouw Schellingwoude;Wijkergouw 12;605;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.965092;52.383736
323;Muziekschool Noord;Alkmaarstraat 10;606;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.951133;52.394767
324;OBS De Driemaster;Binnenvaart 1;607;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.920865;52.407693
325;OBS Oranje Nassauschool;Ribesstraat 15;608;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Noord;4.915505;52.39348
326;Het Zwanenmeer;Beemsterstraat 491;610;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.949394;52.395309
327;Museum Amsterdam Noord;Zamenhofstraat 28 A;611;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.926021;52.388129
328;Middelbare School Hogelant;Duinluststraat 20;612;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.953445;52.395692
329;Speeltuinvereniging Nieuwendam;Monnikendammerplantsoen 12 A;613;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Noord;4.950495;52.389435
330;Protestantse Gemeente Nieuwendam;Brede Kerkepad 6-8 (ingang via hek);614;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Noord;4.940572;52.391636
331;De Die;Loenermark 900;616;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.932036;52.39891
332;OBS De Klimop;Varenweg 6;617;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.916129;52.390076
333;ROC-TOP;NDSM-straat 1;618;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.888706;52.404236
334;Buurtcentrum de Driehoek;Waddenweg 116;619;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.928591;52.393882
335;OBS De Kinderboom;Adelaarsweg 113 (ingang speelplaats);621;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.920273;52.388601
336;OBS Het Vogelnest;Mussenstraat 26;622;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Noord;4.917016;52.38679
337;Buurtcentrum De Meeuw;Motorwal 300;624;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.917775;52.38443
338;Gebouw `t Laantje;Meteorenweg 19 A;627;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.890684;52.409934
339;Kringloopbedrijf De Lokatie;Distelweg 85;628;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.904744;52.39279
340;Buurtcentrum De Valk;IJplein 3;629;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.911093;52.382992
341;Buurtvereniging Bloemenkwartier;Wingerdweg 260 B;630;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.918718;52.39671
342;Huis van de Wijk;Waterlandplein 302;632;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.954837;52.3931
343;OBS De Bonkelaar;Molenwijk 3;634;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.889737;52.421029
344;Eduard Douwes Dekkerhuis;Schoenerstraat 11;635;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.907701;52.404638
345;Huis van de Wijk;Bezaanjachtplein 243-247;636;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.916941;52.407695
346;Senioren-flat de Wasknijper;G.J. Scheurleerweg 15;637;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.92927;52.404993
347;OBS De Vier Windstreken;Parlevinker 11;638;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.921948;52.410986
348;OBA Molenwijk;Molenwijk 21;640;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.892978;52.417798
349;Cordaan - Het Anker;Klinkerweg 73;642;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.895726;52.407241
350;SBO De Zeppelin;Bessenpad 1-ingang Mandarijnenstr t/o 12;644;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Noord;4.894739;52.410067
351;Orion College Amsterdam;Beijerlandstraat 2;645;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Noord;4.930413;52.392451
352;OBA van der Pek;Gentiaanstraat 1;646;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Noord;4.911861;52.390823
353;Twiskehuis;Watermanstraat 2;649;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.880385;52.416083
354;Buurtcentrum De Evenaar;Kometensingel 189;650;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.886461;52.414374
355;OBS Twiskeschool;Pandorinastraat 7A (ingang hoofdgebouw);651-652;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.902019;52.419004
356;OBS De Krijtmolen;Molenwijk 8;654;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Noord;4.891896;52.419861
357;OBS De Vijfsterren;Markengouw 245 A;655;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Noord;4.959115;52.394293
