OBJECTNUMMER;Naam;Adres;Stemdistrict;Toegankelijkheid_code;Toegankelijkheid;Open_speciaal;Openingstijden;Stadsdeel;LNG;LAT
71;De Eester;C. van Eesterenlaan 266;100;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.938125;52.370713
72;Stichting Meevaart;Balistraat 48A;101;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.933901;52.363021
73;Basisschool de Waaier;Obiplein t.o. 87. zij-ingang;103;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.938816;52.36046
74;Stayokay Amsterdam Oost;Timorplein 21;104-106;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.935507;52.365355
75;De Indische Buurt School;Balistraat 79;107;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Oost;4.934707;52.363222
76;Stichting Flexbieb IJburg;Talbotstr 46 - ingang Maria Austriastraat;108;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.994624;52.357755
77;De Binnenwaai;Ed Pelsterpark 2;109;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.995941;52.356618
78;Basisschool De Archipel;Franz Zieglerstraat 11;110;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;5.007258;52.353159
79;OBA IJburg;Diemerparklaan 79;111;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.996939;52.356613
80;Montessorischool Steigereiland;John Hadleystraat 4;112;B;rolstoeltoegankelijk met hulp;0;7:30 - 21:00 uur;Oost;4.982205;52.360985
81;abbs De Zuiderzee;Brigantijnkade 51;113;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.987533;52.362738
82;Café Kanis en Meiland;Levantkade 127;114;AP;rolstoeltoegankelijk met GPA;0;7:30 - 21:00 uur;Oost;4.940506;52.376339
83;IJburg College 1;Pampuslaan 1;115;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;5.004339;52.351289
84;MKC Zeeburgereiland;Faas Wilkesstraat 451;117;A;rolstoeltoegankelijk;0;7:30 - 21:00 uur;Oost;4.969942;52.372456
