OBJECTNUMMER,Naam,Address,Stemdistrict,Toegankelijkheid_code,Toegankelijkheid,Open_speciaal,Openingstijden,Stadsdeel,LNG,LAT
376,Portocabin naast Station Amsterdam,Bijlmer Arena - Hoekenrode,720,C,niet rolstoeltoegankelijk,1,7:30 - 19:00 uur,Zuidoost,4.948.392,52.312.458
377,School Het Gein,Cornelis Aarnoutsstraat 80,722-723,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.993.488,52.298.766
378,Basisschool De Schakel,Alexander Dumaslaan 17,724,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.941.605,523.239
379,Academisch Medisch Centrum (AMC),Meibergdreef 9,727,AP,rolstoeltoegankelijk met GPA,1,7:00 - 19:00 uur,Zuidoost,4.957.813,52.295.065
380,Serviceflat Koornhorst,Koornhorst 32,728,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.986.583,52.318.327
381,Woongroep Surinaamse Ouderen,Randwijkhof 20-50,729,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuidoost,4.970.839,52.295.606
382,Buurtcentrum De Bonte Kraai,Kraaiennest 68,732,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.980.067,52.317.235
383,Serviceflat Garstkamp,Garstkamp 32,733-734,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.980.272,52.325.244
384,Evean Henriette Roland Holst,Kortvoort 100,735,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.969.784,52.314.278
385,Matchzo,Stammerlandweg 10,738,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,5.014.675,52.308.811
386,Basisschool Samenspel,Kantershof 641,739,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuidoost,4.987.514,52.319.238
387,Open Schoolgemeenschap Bijlmer,Gulden Kruis 5,740,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuidoost,4.965.388,52.318.622
388,Basisschool Polsstok,EGoli 2,742,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,496.035,52.322.388
389,Stichting MaDi,Karspeldreef 1009,746,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.975.072,52.314.962
390,Wijkcentrum Ala Kondre,Krimpertplein 5,753,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuidoost,4.969.437,52.316.884
391,Lotusschool,Mijehof 406,754,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.968.598,52.300.074
392,OBS Nellestein,Leksmondplein 31,755,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Zuidoost,4.980.628,52.308.798
393,OBA Bijlmerplein/Imagine IC,Bijlmerplein 393,756,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.953.509,52.315.478
394,Basisschool Mobiel,Reigersbos 313,757-758,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,497.575,52.294.014
395,Basisschool Shri Laksmi,Janusz Korczakstraat 73,762,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.956.643,52.318.995
396,Sporthal Gaasperdam,Ravenswaaipad 5,765,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.978.245,52.296.809
397,Ir. Lely Lyceum,Ravenswaaipad 3,766,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Zuidoost,4.977.556,52.296.852
398,Basisschool De Achtsprong,Huntum 14,767,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.960.203,52.308.654
399,Kidz Friends,Hogevecht 138 C,769,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.955.916,52.309.277
400,Jongerencentrum No Limit,Geldershoofd 80,771,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Zuidoost,4.971.898,52.323.462
