OBJECTNUMMER,Naam,Address,Stemdistrict,Toegankelijkheid_code,Toegankelijkheid,Open_speciaal,Openingstijden,Stadsdeel,LNG,LAT
221,Osdorpse Montessorischool,Hoekenes 59,346,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,480.261,52.353.971
222,Stadsloket Nieuw-West,Osdorpplein 1000,347,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,480.667,52.357.775
223,Dienstencentrum Osdorperhof,Pieter Calandlaan 84,348,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,4.812.611,52.354.748
224,Ichthusschool,Louis Davidsstraat 103,349,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Nieuw-West,481.066,52.352.402
225,Verenigingsgebouw Nivon,Ouwerdingenpad 3,351,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,Nieuw-West,4.795.137,52.362.931
226,Zorgcentrum Leo Polak,Saaftingestraat 8,352,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,4.789.133,52.362.865
227,De Wachter,Wolbrantskerkweg 54 - 56,354,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,4.797.409,52.356.606
228,Nieuw Amstelrade,Clauskindereweg 21,356,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,4.794.843,52.355.245
229,Basisschool de Odyssee,Cycladenlaan 2 A,357,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Nieuw-West,479.305,52.348.837
230,Huis van de Wijk De Aker,Noorderakerweg 2,359-361,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Nieuw-West,4.782.149,52.355.055
231,Jenaplanschool Atlantis,Schuitenhuisstraat 5,362,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Nieuw-West,4.786.858,52.357.443
232,Ymere Amsterdam-West,Anderlechtlaan 200,363,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Nieuw-West,4.811.123,52.342.661
233,Horizon Brenner,Brenner 9 - ingang Monte Rosaplein-schoolpleinzijde,364-365,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,Nieuw-West,4.775.411,52.350.814
234,Obs de Horizon,zij-ingang Iwan Kantemanplein,366-367,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,Nieuw-West,4.788.389,5.235.053
235,OBA Osdorp,Osdorpplein 16,371,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,4.806.788,52.358.926
236,Basisschool De Wereldburger - gymgebouw,Koos Vorrinkweg 5,376-377,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,Nieuw-West,4.800.052,5.235.315
237,De Spaarndammerhout,Revaleiland 1,391-392,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,West,4.878.756,52.392.789
238,Museum Het Schip,Oostzaanstraat 45,393,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.873.952,52.390.315
239,De Bogt Westerbeer,Polanenstraat 6,394-395,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,487.833,52.389.003
240,De Zeeheld,Roggeveenstraat 14,396-397,C,niet rolstoeltoegankelijk,0,7:30 - 21:00 uur,West,4.886.825,52.389.875
241,De Koperen Knoop,Van Limburg Stirumstraat 119,398-399,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.876.704,5.238.346
242,Westerparkschool,Van Hogendorpplein 11,401-402,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,487.704,52.384.882
243,School De Bron,Van Beuningenstraat 141,403-404,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.874.484,52.382.336
244,Cartesius Lyceum,ingang Van Oldenbarneveldtplein 16,405,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.876.429,52.377.968
245,Van Hogendorphal,Van Hogendorpstraat 921,406,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.867.589,52.381.641
246,Amsta locatie De Poort,Hugo de Grootkade 20,408-409,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.873.371,52.373.209
247,Marcanti College,Jan van Galenstraat 31,410,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.866.137,52.375.217
248,Dependance Westerparkschool,Van Hallstraat 621,411-412,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.872.931,52.379.489
249,Openbare Bibliotheek Amsterdam,Van Hallstraat 615,413,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.872.048,52.379.665
250,Buurthuis De Havelaar,Douwes Dekkerstraat 2,421,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.865.416,52.369.166
251,Galerie Beeldend Gesproken,Hannie Dankbaarpassage 23,423,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,West,4.868.823,52.366.601
252,Schoolgebouw ROC,Da Costastraat 64,424,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.874.382,52.368.351
253,Brede School De Kinkerbuurt,ingang Nicolaas Beetsplantsoen,426-427,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.865.762,52.364.655
254,Schoolgebouw Winterkoninkje,Jan Pieter Heijestraat 45,428-429,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.863.009,52.365.317
255,Leonardo da Vinci school,Nassaukade 342 A,430,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,West,4.876.066,52.367.468
256,Mentrum,1e C Huygensstr 38,431-432,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.873.646,5.236.469
257,Vondelstede,Anna van den Vondelstr 30,433-434,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.869.732,5.236.035
258,Wackersacademie,Eerste Helmersstraat 271,436-437,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.864.048,52.360.585
259,Annie M.G. Schmidt,Pieter Langendijkstraat 44,439-440,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.860.601,52.360.355
260,De Nieuwe Liefde,Da Costakade 102,441-442,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.871.648,52.369.804
261,De Klinker,Borgerstraat 45,443,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.867.765,52.365.374
262,Philadelphia Zorg Amsterdam,Kinkerstraat 42,444,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,487.405,52.367.846
263,Conscious Hotel The Tire Station,Amstelveenseweg 3. via Sticky Fingers,445,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,West,4.855.382,52.357.275
264,Theater de Cameleon,Derde Kostverlorenkade 35,446,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.855.954,52.358.608
265,Nieuw Vredenburgh,Postjesweg 125,460-461,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.851.252,52.363.827
266,Aslan Muziekcentrum,Corantijnstraat 9,462-463,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.852.408,52.361.675
267,Joop Westerweelschool,Balboaplein 44,465-467,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.856.198,52.368.855
268,De Wending,Witte de Withplein 5,468,A,rolstoeltoegankelijk,0,7:30 - 21:00 uur,West,4.858.373,52.368.721
269,Openbare Bibliotheek Amsterdam,Mercatorplein 89,469-470,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,485.026,52.369.386
270,Rosa Boekdrukkerschool,Vancouverstraat 3-5,471-472,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.855.354,52.373.165
271,School De Roos,Reinier Claeszenplein 12,474-475,B,rolstoeltoegankelijk met hulp,0,7:30 - 21:00 uur,West,4.860.818,52.374.232
272,Al Maes,Cornelis Dirkszstraat 6,477,AP,rolstoeltoegankelijk met GPA,0,7:30 - 21:00 uur,West,4.857.089,52.371.717
